family,front_type,budget,view,quantile,parameter,category,observed_share,elite_share,elite_over_representation
RE3D,extremePointsFronts,1000,EP,0.2,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,EP,0.2,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,EP,0.2,mutation,powerLaw,0.24468085106382978,0.22807017543859648,-0.0166106756252333
RE3D,extremePointsFronts,1000,EP,0.2,mutation,uniform,0.05673758865248227,0.07017543859649122,0.013437849944008956
RE3D,extremePointsFronts,1000,HV,0.05,mutation,levyFlight,0.5460992907801419,0.26666666666666666,-0.2794326241134752
RE3D,extremePointsFronts,1000,HV,0.05,mutation,linkedPolynomial,0.11347517730496454,0.0,-0.11347517730496454
RE3D,extremePointsFronts,1000,HV,0.05,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,HV,0.05,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,HV,0.05,mutation,powerLaw,0.24468085106382978,0.7333333333333333,0.48865248226950353
RE3D,extremePointsFronts,1000,HV,0.05,mutation,uniform,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.1,mutation,levyFlight,0.5460992907801419,0.3793103448275862,-0.16678894595255567
RE3D,extremePointsFronts,1000,HV,0.1,mutation,linkedPolynomial,0.11347517730496454,0.06896551724137931,-0.04450966006358523
RE3D,extremePointsFronts,1000,HV,0.1,mutation,nonUniform,0.0035460992907801418,0.034482758620689655,0.030936659329909515
RE3D,extremePointsFronts,1000,HV,0.1,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,HV,0.1,mutation,powerLaw,0.24468085106382978,0.4827586206896552,0.23807776962582541
RE3D,extremePointsFronts,1000,HV,0.1,mutation,uniform,0.05673758865248227,0.034482758620689655,-0.022254830031792613
RE3D,extremePointsFronts,1000,HV,0.2,mutation,levyFlight,0.5460992907801419,0.42105263157894735,-0.1250466592011945
RE3D,extremePointsFronts,1000,HV,0.2,mutation,linkedPolynomial,0.11347517730496454,0.10526315789473684,-0.0082120194102277
RE3D,extremePointsFronts,1000,HV,0.2,mutation,nonUniform,0.0035460992907801418,0.017543859649122806,0.013997760358342664
RE3D,extremePointsFronts,1000,HV,0.2,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,HV,0.2,mutation,powerLaw,0.24468085106382978,0.42105263157894735,0.17637178051511757
RE3D,extremePointsFronts,1000,HV,0.2,mutation,uniform,0.05673758865248227,0.03508771929824561,-0.021649869354236656
RE3D,extremePointsFronts,1000,joint,0.05,mutation,levyFlight,0.5460992907801419,0.4666666666666667,-0.07943262411347518
RE3D,extremePointsFronts,1000,joint,0.05,mutation,linkedPolynomial,0.11347517730496454,0.0,-0.11347517730496454
RE3D,extremePointsFronts,1000,joint,0.05,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,joint,0.05,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,joint,0.05,mutation,powerLaw,0.24468085106382978,0.4666666666666667,0.2219858156028369
RE3D,extremePointsFronts,1000,joint,0.05,mutation,uniform,0.05673758865248227,0.06666666666666667,0.009929078014184398
RE3D,extremePointsFronts,1000,joint,0.1,mutation,levyFlight,0.5460992907801419,0.4482758620689655,-0.09782342871117633
RE3D,extremePointsFronts,1000,joint,0.1,mutation,linkedPolynomial,0.11347517730496454,0.034482758620689655,-0.07899241868427488
RE3D,extremePointsFronts,1000,joint,0.1,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,joint,0.1,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,joint,0.1,mutation,powerLaw,0.24468085106382978,0.4482758620689655,0.20359501100513575
RE3D,extremePointsFronts,1000,joint,0.1,mutation,uniform,0.05673758865248227,0.06896551724137931,0.012227928588897041
RE3D,extremePointsFronts,1000,joint,0.2,mutation,levyFlight,0.5460992907801419,0.42105263157894735,-0.1250466592011945
RE3D,extremePointsFronts,1000,joint,0.2,mutation,linkedPolynomial,0.11347517730496454,0.017543859649122806,-0.09593131765584173
RE3D,extremePointsFronts,1000,joint,0.2,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,joint,0.2,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,joint,0.2,mutation,powerLaw,0.24468085106382978,0.5263157894736842,0.28163493840985443
RE3D,extremePointsFronts,1000,joint,0.2,mutation,uniform,0.05673758865248227,0.03508771929824561,-0.021649869354236656
RE3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,bounds,0.8085106382978723,0.8666666666666667,0.05815602836879441
RE3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,round,0.1595744680851064,0.13333333333333333,-0.02624113475177306
RE3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,bounds,0.8085106382978723,0.7931034482758621,-0.015407190022010187
RE3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,random,0.031914893617021274,0.034482758620689655,0.0025678650036683806
RE3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,round,0.1595744680851064,0.1724137931034483,0.012839325018341896
RE3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,bounds,0.8085106382978723,0.8245614035087719,0.016050765210899653
RE3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,random,0.031914893617021274,0.017543859649122806,-0.014371033967898468
RE3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,round,0.1595744680851064,0.15789473684210525,-0.0016797312430011369
RE3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,bounds,0.8085106382978723,0.5333333333333333,-0.27517730496453896
RE3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,round,0.1595744680851064,0.4666666666666667,0.3070921985815603
RE3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,bounds,0.8085106382978723,0.6551724137931034,-0.15333822450476886
RE3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,round,0.1595744680851064,0.3448275862068966,0.18525311812179018
RE3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,bounds,0.8085106382978723,0.7017543859649122,-0.10675625233296004
RE3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,round,0.1595744680851064,0.2982456140350877,0.1386711459499813
RE3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,bounds,0.8085106382978723,0.8,-0.008510638297872242
RE3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,round,0.1595744680851064,0.2,0.04042553191489362
RE3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,bounds,0.8085106382978723,0.6896551724137931,-0.11885546588407914
RE3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,round,0.1595744680851064,0.3103448275862069,0.15077035950110051
RE3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,bounds,0.8085106382978723,0.631578947368421,-0.17693169092945127
RE3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,random,0.031914893617021274,0.0,-0.031914893617021274
RE3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,round,0.1595744680851064,0.3684210526315789,0.20884658454647254
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,1,0.1702127659574468,0.2,0.029787234042553207
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,10,0.30141843971631205,0.3333333333333333,0.03191489361702127
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,20,0.05673758865248227,0.06666666666666667,0.009929078014184398
RE3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,5,0.4716312056737589,0.4,-0.07163120567375886
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,1,0.1702127659574468,0.1724137931034483,0.002201027146001483
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,10,0.30141843971631205,0.3103448275862069,0.008926387869894858
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,20,0.05673758865248227,0.06896551724137931,0.012227928588897041
RE3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,5,0.4716312056737589,0.4482758620689655,-0.023355343604793355
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,1,0.1702127659574468,0.17543859649122806,0.005225830533781256
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,10,0.30141843971631205,0.2807017543859649,-0.02071668533034715
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,20,0.05673758865248227,0.07017543859649122,0.013437849944008956
RE3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,5,0.4716312056737589,0.47368421052631576,0.0020530048525568834
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,1,0.1702127659574468,0.2,0.029787234042553207
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,10,0.30141843971631205,0.06666666666666667,-0.2347517730496454
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,20,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,5,0.4716312056737589,0.7333333333333333,0.2617021276595744
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,1,0.1702127659574468,0.20689655172413793,0.036683785766691124
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,10,0.30141843971631205,0.20689655172413793,-0.09452188799217412
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,20,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,5,0.4716312056737589,0.5862068965517241,0.11457569087796521
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,1,0.1702127659574468,0.21052631578947367,0.04031354983202687
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,10,0.30141843971631205,0.2631578947368421,-0.03826054497946996
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,20,0.05673758865248227,0.0,-0.05673758865248227
RE3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,5,0.4716312056737589,0.5263157894736842,0.0546845837999253
