family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RWA3D,extremePointsFronts,1000,HV,0.2,crossoverRepairStrategy,categorical,204,41,3,3,bounds,0.5365853658536586
RWA3D,extremePointsFronts,1000,joint,0.05,crossoverRepairStrategy,categorical,204,11,3,2,bounds,0.8181818181818182
RWA3D,extremePointsFronts,1000,joint,0.1,crossoverRepairStrategy,categorical,204,21,3,3,bounds,0.8095238095238095
RWA3D,extremePointsFronts,1000,joint,0.2,crossoverRepairStrategy,categorical,204,41,3,3,bounds,0.7560975609756098
RWA3D,extremePointsFronts,1000,EP,0.05,mutation,categorical,204,11,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,1000,EP,0.1,mutation,categorical,204,21,2,2,powerLaw,0.9523809523809523
RWA3D,extremePointsFronts,1000,EP,0.2,mutation,categorical,204,41,2,2,powerLaw,0.926829268292683
RWA3D,extremePointsFronts,1000,HV,0.05,mutation,categorical,204,11,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,1000,HV,0.1,mutation,categorical,204,21,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,1000,HV,0.2,mutation,categorical,204,41,2,2,powerLaw,0.975609756097561
RWA3D,extremePointsFronts,1000,joint,0.05,mutation,categorical,204,11,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,1000,joint,0.1,mutation,categorical,204,21,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,1000,joint,0.2,mutation,categorical,204,41,2,1,powerLaw,1.0
RWA3D,extremePointsFronts,1000,EP,0.05,mutationRepairStrategy,categorical,204,11,2,2,bounds,0.9090909090909091
RWA3D,extremePointsFronts,1000,EP,0.1,mutationRepairStrategy,categorical,204,21,2,2,bounds,0.9047619047619048
RWA3D,extremePointsFronts,1000,EP,0.2,mutationRepairStrategy,categorical,204,41,2,2,bounds,0.9512195121951219
RWA3D,extremePointsFronts,1000,HV,0.05,mutationRepairStrategy,categorical,204,11,2,2,bounds,0.9090909090909091
RWA3D,extremePointsFronts,1000,HV,0.1,mutationRepairStrategy,categorical,204,21,2,2,bounds,0.8571428571428571
RWA3D,extremePointsFronts,1000,HV,0.2,mutationRepairStrategy,categorical,204,41,2,2,bounds,0.8780487804878049
RWA3D,extremePointsFronts,1000,joint,0.05,mutationRepairStrategy,categorical,204,11,2,2,bounds,0.9090909090909091
RWA3D,extremePointsFronts,1000,joint,0.1,mutationRepairStrategy,categorical,204,21,2,2,bounds,0.9523809523809523
RWA3D,extremePointsFronts,1000,joint,0.2,mutationRepairStrategy,categorical,204,41,2,2,bounds,0.9512195121951219
RWA3D,extremePointsFronts,1000,EP,0.05,offspringPopulationSize,categorical,204,11,5,4,5,0.36363636363636365
