family,front_type,budget,run,parameter,parameter_kind,stabilization_eval,stabilization_pct_meta_budget
RE3D,extremePointsFronts,3000,10,fuzzyRecombinationCrossoverAlpha,numerical,800,26.7
RE3D,extremePointsFronts,3000,11,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,12,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,13,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,14,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,15,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,16,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,17,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,18,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,19,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,20,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,21,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,22,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,23,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,24,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,25,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,26,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,27,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,28,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,29,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,30,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,1,laplaceCrossoverScale,numerical,800,26.7
RE3D,extremePointsFronts,3000,2,laplaceCrossoverScale,numerical,300,10.0
RE3D,extremePointsFronts,3000,3,laplaceCrossoverScale,numerical,800,26.7
RE3D,extremePointsFronts,3000,4,laplaceCrossoverScale,numerical,300,10.0
RE3D,extremePointsFronts,3000,5,laplaceCrossoverScale,numerical,3000,100.0
RE3D,extremePointsFronts,3000,6,laplaceCrossoverScale,numerical,300,10.0
