Benchmark,Frente,Budget,Parametro,Accion,supported_views,recommended_value,recommended_min,recommended_max
RE3D,Real,5000,mutationRepairStrategy,Fijar,EP|HV|joint,bounds,,
RE3D,Real,5000,variation,Fijar,EP|HV|joint,crossoverAndMutationVariation,,
RE3D,Real,5000,blxAlphaBetaCrossoverAlpha,Mantener,,,,
RE3D,Real,5000,blxAlphaBetaCrossoverBeta,Mantener,,,,
RE3D,Real,5000,blxAlphaCrossoverAlpha,Mantener,,,,
RE3D,Real,5000,boltzmannTemperature,Mantener,,,,
RE3D,Real,5000,createInitialSolutions,Mantener,,,,
RE3D,Real,5000,crossoverProbability,Mantener,,,,
RE3D,Real,5000,fuzzyRecombinationCrossoverAlpha,Mantener,,,,
RE3D,Real,5000,laplaceCrossoverScale,Mantener,,,,
RE3D,Real,5000,linkedPolynomialMutationDistributionIndex,Mantener,,,,
RE3D,Real,5000,mutation,Mantener,,,,
RE3D,Real,5000,mutationProbabilityFactor,Mantener,,,,
RE3D,Real,5000,nonUniformMutationPerturbation,Mantener,,,,
RE3D,Real,5000,offspringPopulationSize,Mantener,,,,
RE3D,Real,5000,pcxCrossoverEta,Mantener,,,,
RE3D,Real,5000,pcxCrossoverZeta,Mantener,,,,
RE3D,Real,5000,polynomialMutationDistributionIndex,Mantener,,,,
RE3D,Real,5000,populationSizeWithArchive,Mantener,,,,
RE3D,Real,5000,powerLawMutationDelta,Mantener,,,,
RE3D,Real,5000,sbxDistributionIndex,Mantener,,,,
RE3D,Real,5000,selection,Mantener,,,,
RE3D,Real,5000,selectionTournamentSize,Mantener,,,,
RE3D,Real,5000,undcCrossoverEta,Mantener,,,,
RE3D,Real,5000,undcCrossoverZeta,Mantener,,,,
RE3D,Real,5000,uniformMutationPerturbation,Mantener,,,,
RE3D,Real,5000,levyFlightMutationBeta,Acotar,EP|HV,,1.0089759227534842,1.466969565207838
RE3D,Real,5000,levyFlightMutationStepSize,Acotar,EP|joint,,0.3837993703595642,0.772292987564794
RWA3D,Real,5000,algorithmResult,Fijar,EP|HV|joint,externalArchive,,
RWA3D,Real,5000,archiveType,Fijar,EP|HV|joint,unboundedArchive,,
RWA3D,Real,5000,createInitialSolutions,Fijar,HV|joint,cauchy,,
