# Evaluation: 0

EP=0.15498471745102202 HVMinus=-0.8485757417116583 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7279567071359049 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6607314721251953 --mutation levyFlight --mutationProbabilityFactor 0.8055622428723612 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.572901134470794 --levyFlightMutationStepSize 0.8755014658476131 --selection stochasticUniversalSampling 
EP=0.15137799002152347 HVMinus=-0.8485492746175607 | --algorithmResult externalArchive --populationSizeWithArchive 22 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7275856767148614 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8111232682885927 --blxAlphaBetaCrossoverAlpha 0.9222095001053777 --mutation levyFlight --mutationProbabilityFactor 0.06908089262814499 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5522642012067798 --levyFlightMutationStepSize 0.7210583295977483 --selection stochasticUniversalSampling 
EP=0.15082785738841156 HVMinus=-0.846489586002208 | --algorithmResult externalArchive --populationSizeWithArchive 85 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7219938078914928 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.6991401596325959 --blxAlphaBetaCrossoverAlpha 0.9222095048517429 --mutation linkedPolynomial --mutationProbabilityFactor 0.8047146110057372 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 179.48997284025864 --selection stochasticUniversalSampling 
EP=0.1512703499735788 HVMinus=-0.8483102238497754 | --algorithmResult externalArchive --populationSizeWithArchive 42 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7279517207824842 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.6949391254263704 --blxAlphaBetaCrossoverAlpha 0.9222096878261802 --mutation levyFlight --mutationProbabilityFactor 0.06448028871129452 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5474233367975676 --levyFlightMutationStepSize 0.7126724420955839 --selection ranking 

# Evaluation: 1100
EP=0.15564562439268123 HVMinus=-0.8486128557099094 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275920387317655 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7399827157937231 --mutation levyFlight --mutationProbabilityFactor 0.80763109796634 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5579348825670962 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.15498471745102202 HVMinus=-0.8485757417116583 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7279567071359049 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6607314721251953 --mutation levyFlight --mutationProbabilityFactor 0.8055622428723612 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.572901134470794 --levyFlightMutationStepSize 0.8755014658476131 --selection stochasticUniversalSampling 
EP=0.15137799002152347 HVMinus=-0.8485492746175607 | --algorithmResult externalArchive --populationSizeWithArchive 22 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7275856767148614 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.8111232682885927 --blxAlphaBetaCrossoverAlpha 0.9222095001053777 --mutation levyFlight --mutationProbabilityFactor 0.06908089262814499 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5522642012067798 --levyFlightMutationStepSize 0.7210583295977483 --selection stochasticUniversalSampling 
EP=0.15082785738841156 HVMinus=-0.846489586002208 | --algorithmResult externalArchive --populationSizeWithArchive 85 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7219938078914928 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.6991401596325959 --blxAlphaBetaCrossoverAlpha 0.9222095048517429 --mutation linkedPolynomial --mutationProbabilityFactor 0.8047146110057372 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 179.48997284025864 --selection stochasticUniversalSampling 
